timestamp,price
2025-05-16T16:30:21Z,218.194
2025-05-16T16:32:59Z,217.589
2025-05-16T16:35:57Z,216.063
2025-05-16T16:52:44Z,218.193
2025-05-16T17:26:25Z,219.471
2025-05-17T03:45:01Z,220.849
2025-05-17T03:50:02Z,220.084
2025-05-17T03:55:02Z,220.542
2025-05-17T04:00:01Z,221.849
2025-05-17T04:05:02Z,222.263
2025-05-17T04:10:01Z,222.583
2025-05-17T04:15:02Z,222.497
2025-05-17T04:20:02Z,224.958
2025-05-17T04:25:02Z,224.484
2025-05-17T07:19:42Z,236.834
2025-05-17T07:20:02Z,236.815
2025-05-17T07:25:01Z,237.429
2025-05-17T07:30:02Z,237.404
2025-05-17T07:35:02Z,235.448
2025-05-17T07:40:02Z,234.834
2025-05-17T07:45:01Z,233.849
2025-05-17T07:50:02Z,237.455
2025-05-17T07:55:02Z,243.537
2025-05-17T08:00:01Z,249.36
2025-05-17T08:05:02Z,246.954
2025-05-17T08:07:28Z,246.876
2025-05-17T08:07:39Z,246.874
2025-05-17T08:07:49Z,246.864
2025-05-17T08:08:00Z,246.856
2025-05-17T08:08:11Z,246.854
2025-05-17T08:08:21Z,246.85
2025-05-17T08:08:32Z,242.514
2025-05-17T08:08:43Z,240.517
2025-05-17T08:08:53Z,240.51
2025-05-17T08:09:04Z,240.502
2025-05-17T08:09:14Z,240.5
2025-05-17T08:09:25Z,240.494
2025-05-17T08:09:36Z,240.487
2025-05-17T08:09:46Z,240.474
2025-05-17T08:09:57Z,240.471
2025-05-17T08:10:01Z,240.471
2025-05-17T08:10:08Z,240.47
2025-05-17T08:10:18Z,240.462
2025-05-17T08:10:29Z,240.457
2025-05-17T08:10:39Z,240.451
2025-05-17T08:10:50Z,240.439
2025-05-17T08:11:01Z,240.437
2025-05-17T08:11:11Z,240.431
2025-05-17T08:11:22Z,240.421
2025-05-17T08:11:33Z,240.419
2025-05-17T08:13:24Z,240.346
2025-05-17T08:13:35Z,240.346
2025-05-17T08:13:45Z,240.338
2025-05-17T08:13:57Z,240.33
2025-05-17T08:14:08Z,240.328
2025-05-17T08:14:18Z,240.317
2025-05-17T08:14:29Z,240.306
2025-05-17T08:14:40Z,240.305
2025-05-17T08:14:51Z,240.302
2025-05-17T08:15:02Z,240.297
2025-05-17T08:15:02Z,240.297
2025-05-17T08:15:13Z,238.999
2025-05-17T08:15:24Z,238.991
2025-05-17T08:15:34Z,237.999
2025-05-17T08:15:46Z,237.995
2025-05-17T08:15:57Z,237.991
2025-05-17T08:16:07Z,237.969
2025-05-17T08:16:18Z,237.964
2025-05-17T08:16:29Z,237.962
2025-05-17T08:16:40Z,237.957
2025-05-17T08:16:50Z,236.999
2025-05-17T08:17:01Z,236.998
2025-05-17T08:17:11Z,236.994
2025-05-17T08:17:23Z,235.999
2025-05-17T08:17:34Z,235.0
2025-05-17T08:17:44Z,234.998
2025-05-17T08:17:56Z,234.998
2025-05-17T08:18:07Z,234.997
2025-05-17T08:18:18Z,234.996
2025-05-17T08:18:29Z,234.951
2025-05-17T08:18:40Z,234.95
2025-05-17T08:18:51Z,234.95
2025-05-17T08:19:01Z,234.95
2025-05-17T08:19:06Z,234.95
2025-05-17T08:19:16Z,234.95
2025-05-17T08:19:27Z,234.95
2025-05-17T08:19:38Z,234.95
2025-05-17T08:19:49Z,234.951
2025-05-17T08:20:00Z,234.951
2025-05-17T08:20:01Z,234.951
2025-05-17T08:20:11Z,234.951
2025-05-17T08:20:13Z,234.951
2025-05-17T08:20:22Z,234.951
2025-05-17T08:20:24Z,235.997
2025-05-17T08:20:33Z,235.997
2025-05-17T08:20:34Z,235.997
2025-05-17T08:20:43Z,235.997
2025-05-17T08:20:45Z,235.997
